URI_or_URL,fecha,color_fondo,color_barras,ancho,tipo_archivo,logo_QFMC
https://open.spotify.com/intl-es/album/5K79FLRUCSysQnVESLcTdb,15_12_25,F4DC31,False,1000,.svg,True
https://open.spotify.com/intl-es/track/5TFD2bmFKGhoCRbX61nXY5?si=26f3a7407082498f,16_12_25,F4DC31,False,1000,.svg,True
https://open.spotify.com/intl-es/track/2lTm559tuIvatlT1u0JYG2?si=bd11e36be0b34e01,17_12_25,F4DC31,False,1000,.svg,True
